Time,Speed
0,300
0.0001,300
0.0002,300
0.0003,300
0.0004,300
0.0005,300
0.0006,300
0.0007,300
0.0008,300
0.0009,300
0.001,300
0.0011,300
0.0012,300
0.0013,300
0.0014,300
0.0015,300
0.0016,300
0.0017,300
0.0018,300
0.0019,300
0.002,300
0.0021,300
0.0022,300
0.0023,300
0.0024,300
0.0025,300
0.0026,300
0.0027,300
0.0028,300
0.0029,300
0.003,300
0.0031,300
0.0032,300
0.0033,300
0.0034,300
0.0035,300
0.0036,300
0.0037,300
0.0038,300
0.0039,300
0.004,300
0.0041,300
0.0042,300
0.0043,300
0.0044,300
0.0045,300
0.0046,300
0.0047,300
0.0048,300
0.0049,300
0.005,300
0.0051,300
0.0052,300
0.0053,300
0.0054,300
0.0055,300
0.0056,300
0.0057,300
0.0058,300
0.0059,300
0.006,300
0.0061,300
0.0062,300
0.0063,300
0.0064,300
0.0065,300
0.0066,300
0.0067,300
0.0068,300
0.0069,300
0.007,300
0.0071,300
0.0072,300
0.0073,300
0.0074,300
0.0075,300
0.0076,300
0.0077,300
0.0078,300
0.0079,300
0.008,300
0.0081,300
0.0082,300
0.0083,300
0.0084,300
0.0085,300
0.0086,300
0.0087,300
0.0088,300
0.0089,300
0.009,300
0.0091,300
0.0092,300
0.0093,300
0.0094,300
0.0095,300
0.0096,300
0.0097,300
0.0098,300
0.0099,300
0.01,300
0.0101,300
0.0102,300
0.0103,300
0.0104,300
0.0105,300
0.0106,300
0.0107,300
0.0108,300
0.0109,300
0.011,300
0.0111,300
0.0112,300
0.0113,300
0.0114,300
0.0115,300
0.0116,300
0.0117,300
0.0118,300
0.0119,300
0.012,300
0.0121,300
0.0122,300
0.0123,300
0.0124,300
0.0125,300
0.0126,300
0.0127,300
0.0128,300
0.0129,300
0.013,300
0.0131,300
0.0132,300
0.0133,300
0.0134,300
0.0135,300
0.0136,300
0.0137,300
0.0138,300
0.0139,300
0.014,300
0.0141,300
0.0142,300
0.0143,300
0.0144,300
0.0145,300
0.0146,300
0.0147,300
0.0148,300
0.0149,300
0.015,300
0.0151,300
0.0152,300
0.0153,300
0.0154,300
0.0155,300
0.0156,300
0.0157,300
0.0158,300
0.0159,300
0.016,300
0.0161,300
0.0162,300
0.0163,300
0.0164,300
0.0165,300
0.0166,300
0.0167,300
0.0168,300
0.0169,300
0.017,300
0.0171,300
0.0172,300
0.0173,300
0.0174,300
0.0175,300
0.0176,300
0.0177,300
0.0178,300
0.0179,300
0.018,300
0.0181,300
0.0182,300
0.0183,300
0.0184,300
0.0185,300
0.0186,300
0.0187,300
0.0188,300
0.0189,300
0.019,300
0.0191,300
0.0192,300
0.0193,300
0.0194,300
0.0195,300
0.0196,300
0.0197,300
0.0198,300
0.0199,300
0.02,300
0.0201,300
0.0202,300
0.0203,300
0.0204,300
0.0205,300
0.0206,300
0.0207,300
0.0208,300
0.0209,300
0.021,300
0.0211,300
0.0212,300
0.0213,300
0.0214,300
0.0215,300
0.0216,300
0.0217,300
0.0218,300
0.0219,300
0.022,300
0.0221,300
0.0222,300
0.0223,300
0.0224,300
0.0225,300
0.0226,300
0.0227,300
0.0228,300
0.0229,300
0.023,300
0.0231,300
0.0232,300
0.0233,300
0.0234,300
0.0235,300
0.0236,300
0.0237,300
0.0238,300
0.0239,300
0.024,300
0.0241,300
0.0242,300
0.0243,300
0.0244,300
0.0245,300
0.0246,300
0.0247,300
0.0248,300
0.0249,300
0.025,300
0.0251,300
0.0252,300
0.0253,300
0.0254,300
0.0255,300
0.0256,300
0.0257,300
0.0258,300
0.0259,300
0.026,300
0.0261,300
0.0262,300
0.0263,300
0.0264,300
0.0265,300
0.0266,300
0.0267,300
0.0268,300
0.0269,300
0.027,300
0.0271,300
0.0272,300
0.0273,300
0.0274,300
0.0275,300
0.0276,300
0.0277,300
0.0278,300
0.0279,300
0.028,300
0.0281,300
0.0282,300
0.0283,300
0.0284,300
0.0285,300
0.0286,300
0.0287,300
0.0288,300
0.0289,300
0.029,300
0.0291,300
0.0292,300
0.0293,300
0.0294,300
0.0295,300
0.0296,300
0.0297,300
0.0298,300
0.0299,300
0.03,300
0.0301,300
0.0302,300
0.0303,300
0.0304,300
0.0305,300
0.0306,300
0.0307,300
0.0308,300
0.0309,300
0.031,300
0.0311,300
0.0312,300
0.0313,300
0.0314,300
0.0315,300
0.0316,300
0.0317,300
0.0318,300
0.0319,300
0.032,300
0.0321,300
